#Selection names: degen19
#Areas (µm^2): 757.6
Selection,X,Y,Class,Color
degen19,1766.2228775859019,3271.402619131416,Unclassified,#c2c2c2
degen19,1774.3623260791846,3268.8025175293947,Unclassified,#c2c2c2
degen19,1774.3623260791846,3268.8025175293947,Unclassified,#c2c2c2
degen19,1775.9449966195448,3268.915565425135,Unclassified,#c2c2c2
degen19,1780.9191040321066,3269.7069006953147,Unclassified,#c2c2c2
degen19,1788.9455046296491,3271.967858610116,Unclassified,#c2c2c2
degen19,1791.77170202315,3276.150630752497,Unclassified,#c2c2c2
degen19,1791.9977978146303,3285.6466539946605,Unclassified,#c2c2c2
degen19,1788.606360942429,3296.2731561942237,Unclassified,#c2c2c2
degen19,1784.1974930085678,3300.5689762323454,Unclassified,#c2c2c2
degen19,1778.545098221566,3300.9081199195657,Unclassified,#c2c2c2
degen19,1775.0406134536247,3300.0037367536447,Unclassified,#c2c2c2
degen19,1770.4056497282832,3298.1949704218046,Unclassified,#c2c2c2
degen19,1765.4315423157216,3294.3513419666433,Unclassified,#c2c2c2
degen19,1764.640207045541,3289.4902824498217,Unclassified,#c2c2c2
degen19,1764.8663028370213,3285.30751030744,Unclassified,#c2c2c2
degen19,1764.5271591498013,3281.916073435239,Unclassified,#c2c2c2
degen19,1762.3792491307406,3279.542067624698,Unclassified,#c2c2c2
degen19,1761.9270575477804,3276.3767265439774,Unclassified,#c2c2c2
degen19,1763.283632296661,3273.211385463256,Unclassified,#c2c2c2
degen19,1766.2228775859019,3271.402619131416,Unclassified,#c2c2c2
