#Selection names: degen21
#Areas (µm^2): 6148.3
Selection,X,Y,Class,Color
degen21,4485.573834263671,3737.6892860811176,Unclassified,#c2c2c2
degen21,4495.114370099539,3740.5161115139667,Unclassified,#c2c2c2
degen21,4495.821076457752,3740.5161115139667,Unclassified,#c2c2c2
degen21,4503.948199577195,3743.696290125923,Unclassified,#c2c2c2
degen21,4511.3686163384245,3745.8164092005595,Unclassified,#c2c2c2
degen21,4519.495739457867,3747.5831750960915,Unclassified,#c2c2c2
degen21,4531.509747547479,3750.4100005289406,Unclassified,#c2c2c2
degen21,4539.636870666921,3750.763353708047,Unclassified,#c2c2c2
degen21,4547.0572874281515,3748.9965878125163,Unclassified,#c2c2c2
degen21,4553.417644652063,3745.463056021454,Unclassified,#c2c2c2
degen21,4560.838061413294,3741.5761710512857,Unclassified,#c2c2c2
degen21,4566.491712278993,3743.696290125923,Unclassified,#c2c2c2
degen21,4571.43865678648,3748.289881454303,Unclassified,#c2c2c2
degen21,4567.905124995418,3754.6502386782154,Unclassified,#c2c2c2
degen21,4564.371593204356,3756.06365139464,Unclassified,#c2c2c2
degen21,4561.1914145924,3758.537123648384,Unclassified,#c2c2c2
degen21,4556.597823264019,3762.7773617976586,Unclassified,#c2c2c2
degen21,4552.710938293851,3765.957540409614,Unclassified,#c2c2c2
degen21,4552.357585114744,3770.9044849171005,Unclassified,#c2c2c2
degen21,4554.124351010276,3773.024603991738,Unclassified,#c2c2c2
degen21,4555.5377637267,3777.2648421410127,Unclassified,#c2c2c2
degen21,4555.8911169058065,3782.211786648499,Unclassified,#c2c2c2
degen21,4555.8911169058065,3791.3989693052613,Unclassified,#c2c2c2
degen21,4555.8911169058065,3798.8193860664915,Unclassified,#c2c2c2
degen21,4556.951176443125,3804.473036932191,Unclassified,#c2c2c2
degen21,4559.42464869687,3810.8333941561023,Unclassified,#c2c2c2
degen21,4561.544767771506,3816.4870450218014,Unclassified,#c2c2c2
degen21,4563.311533667037,3823.554108603926,Unclassified,#c2c2c2
degen21,4561.544767771506,3829.561112648732,Unclassified,#c2c2c2
degen21,4554.124351010276,3836.628176230856,Unclassified,#c2c2c2
degen21,4549.177406502789,3836.628176230856,Unclassified,#c2c2c2
degen21,4544.583815174408,3835.214763514431,Unclassified,#c2c2c2
degen21,4542.110342920665,3832.7412912606874,Unclassified,#c2c2c2
degen21,4539.283517487815,3829.9144658278374,Unclassified,#c2c2c2
degen21,4531.509747547479,3826.3809340367757,Unclassified,#c2c2c2
degen21,4521.262505353398,3822.8474022457135,Unclassified,#c2c2c2
degen21,4508.895144084681,3814.7202791262707,Unclassified,#c2c2c2
degen21,4501.121374144344,3807.29986236504,Unclassified,#c2c2c2
degen21,4493.347604204007,3800.5861519620225,Unclassified,#c2c2c2
degen21,4489.107366054733,3791.752322484367,Unclassified,#c2c2c2
degen21,4484.5137747263525,3785.745318439562,Unclassified,#c2c2c2
degen21,4479.566830218865,3781.8584334693937,Unclassified,#c2c2c2
degen21,4471.0863539203165,3777.2648421410127,Unclassified,#c2c2c2
degen21,4462.605877621768,3770.9044849171005,Unclassified,#c2c2c2
degen21,4460.132405368024,3762.424008618552,Unclassified,#c2c2c2
degen21,4460.132405368024,3758.89047682749,Unclassified,#c2c2c2
degen21,4462.2525244426615,3754.296885499109,Unclassified,#c2c2c2
degen21,4466.846115771042,3753.9435323200028,Unclassified,#c2c2c2
degen21,4476.7400047860165,3753.9435323200028,Unclassified,#c2c2c2
degen21,4479.920183397971,3750.763353708047,Unclassified,#c2c2c2
degen21,4479.566830218865,3746.169762379666,Unclassified,#c2c2c2
degen21,4478.860123860653,3742.9895837677104,Unclassified,#c2c2c2
degen21,4479.213477039759,3740.5161115139667,Unclassified,#c2c2c2
degen21,4485.573834263671,3737.6892860811176,Unclassified,#c2c2c2
