#Selection names: degen6
#Areas (µm^2): 3337.5
Selection,X,Y,Class,Color
degen6,7756.3679780719085,5563.021634737106,Unclassified,#c2c2c2
degen6,7754.329769812624,5553.704111266087,Unclassified,#c2c2c2
degen6,7754.329769812624,5552.5394208322095,Unclassified,#c2c2c2
degen6,7755.203287638033,5548.754176922108,Unclassified,#c2c2c2
degen6,7756.3679780719085,5543.804242578129,Unclassified,#c2c2c2
degen6,7759.570876765072,5536.816099974864,Unclassified,#c2c2c2
degen6,7765.394328934459,5529.245612154661,Unclassified,#c2c2c2
degen6,7772.382471537723,5522.548642159866,Unclassified,#c2c2c2
degen6,7778.205923707111,5515.851672165071,Unclassified,#c2c2c2
degen6,7783.155858051089,5508.863529561807,Unclassified,#c2c2c2
degen6,7787.232274569661,5505.660630868643,Unclassified,#c2c2c2
degen6,7793.638071955987,5510.028219995685,Unclassified,#c2c2c2
degen6,7796.54979804068,5517.598707815887,Unclassified,#c2c2c2
degen6,7800.335041950782,5524.004505202212,Unclassified,#c2c2c2
degen6,7805.8673215117,5528.372094329253,Unclassified,#c2c2c2
degen6,7811.108428464147,5534.48671910711,Unclassified,#c2c2c2
degen6,7811.108428464147,5543.513069969659,Unclassified,#c2c2c2
degen6,7808.487874987923,5554.286456483026,Unclassified,#c2c2c2
degen6,7799.170351516905,5566.515706038738,Unclassified,#c2c2c2
degen6,7789.561655437415,5577.5802651605745,Unclassified,#c2c2c2
degen6,7779.952959357927,5586.897788631593,Unclassified,#c2c2c2
degen6,7768.014882410684,5591.265377758634,Unclassified,#c2c2c2
degen6,7752.873906770277,5589.809514716287,Unclassified,#c2c2c2
degen6,7745.594591558543,5581.656681679146,Unclassified,#c2c2c2
degen6,7746.75928199242,5574.086193858942,Unclassified,#c2c2c2
degen6,7748.797490251706,5567.971569081085,Unclassified,#c2c2c2
degen6,7756.3679780719085,5563.021634737106,Unclassified,#c2c2c2
