#Selection names: degen3
#Areas (µm^2): 3013.8
Selection,X,Y,Class,Color
degen3,7079.03441796342,5619.911787719064,Unclassified,#c2c2c2
degen3,7084.676625583415,5617.347147891794,Unclassified,#c2c2c2
degen3,7084.676625583415,5617.347147891794,Unclassified,#c2c2c2
degen3,7087.754193376139,5617.347147891794,Unclassified,#c2c2c2
degen3,7089.2929772725,5616.321291960886,Unclassified,#c2c2c2
degen3,7091.344689134317,5614.26958009907,Unclassified,#c2c2c2
degen3,7094.4222569270405,5608.627372479075,Unclassified,#c2c2c2
degen3,7095.448112857949,5608.627372479075,Unclassified,#c2c2c2
degen3,7101.090320477942,5611.704940271799,Unclassified,#c2c2c2
degen3,7108.784239959753,5613.756652133616,Unclassified,#c2c2c2
degen3,7111.348879787023,5615.295436029977,Unclassified,#c2c2c2
degen3,7116.991087407018,5615.808363995432,Unclassified,#c2c2c2
degen3,7125.710862819735,5616.834219926339,Unclassified,#c2c2c2
degen3,7134.430638232454,5618.373003822701,Unclassified,#c2c2c2
degen3,7142.124557714264,5619.911787719064,Unclassified,#c2c2c2
degen3,7147.253837368804,5624.528139408149,Unclassified,#c2c2c2
degen3,7147.766765334258,5631.196202959051,Unclassified,#c2c2c2
degen3,7148.279693299713,5638.377194475408,Unclassified,#c2c2c2
degen3,7149.818477196074,5639.9159783717705,Unclassified,#c2c2c2
degen3,7154.9477568506145,5644.532330060856,Unclassified,#c2c2c2
degen3,7155.973612781521,5652.226249542667,Unclassified,#c2c2c2
degen3,7152.896044988798,5656.842601231752,Unclassified,#c2c2c2
degen3,7148.279693299713,5656.842601231752,Unclassified,#c2c2c2
degen3,7145.202125506988,5655.303817335391,Unclassified,#c2c2c2
degen3,7140.585773817902,5654.277961404482,Unclassified,#c2c2c2
degen3,7136.48235009427,5651.713321577212,Unclassified,#c2c2c2
degen3,7132.891854336092,5649.148681749942,Unclassified,#c2c2c2
degen3,7127.249646716097,5649.148681749942,Unclassified,#c2c2c2
degen3,7122.633295027012,5650.687465646304,Unclassified,#c2c2c2
degen3,7120.581583165195,5654.790889369937,Unclassified,#c2c2c2
degen3,7119.5557272342885,5661.971880886293,Unclassified,#c2c2c2
degen3,7116.478159441563,5667.614088506286,Unclassified,#c2c2c2
degen3,7111.348879787023,5669.152872402648,Unclassified,#c2c2c2
degen3,7106.219600132483,5667.614088506286,Unclassified,#c2c2c2
degen3,7101.090320477942,5665.5623766444705,Unclassified,#c2c2c2
degen3,7096.473968788857,5662.4848088517465,Unclassified,#c2c2c2
degen3,7093.396400996132,5657.868457162661,Unclassified,#c2c2c2
degen3,7092.883473030679,5652.226249542667,Unclassified,#c2c2c2
degen3,7091.85761709977,5642.48061819904,Unclassified,#c2c2c2
degen3,7089.805905237955,5639.403050406316,Unclassified,#c2c2c2
degen3,7084.16369761796,5638.377194475408,Unclassified,#c2c2c2
degen3,7082.111985756145,5638.377194475408,Unclassified,#c2c2c2
degen3,7076.982706101605,5640.428906337224,Unclassified,#c2c2c2
degen3,7069.801714585248,5639.403050406316,Unclassified,#c2c2c2
degen3,7065.698290861616,5636.325482613592,Unclassified,#c2c2c2
degen3,7065.185362896163,5630.170347028144,Unclassified,#c2c2c2
degen3,7066.211218827069,5625.553995339058,Unclassified,#c2c2c2
degen3,7069.801714585248,5621.450571615426,Unclassified,#c2c2c2
degen3,7079.03441796342,5619.911787719064,Unclassified,#c2c2c2
