#Selection names: degen12
#Areas (µm^2): 5077.3
Selection,X,Y,Class,Color
degen12,6542.130308629412,3566.5040358494302,Unclassified,#c2c2c2
degen12,6542.712653846351,3560.389411071574,Unclassified,#c2c2c2
degen12,6545.9155525395145,3560.0982384631047,Unclassified,#c2c2c2
degen12,6557.562456878289,3559.2247206376965,Unclassified,#c2c2c2
degen12,6568.335843391655,3563.8834823732054,Unclassified,#c2c2c2
degen12,6578.235712079612,3571.1627975849397,Unclassified,#c2c2c2
degen12,6589.882616418387,3574.656868886572,Unclassified,#c2c2c2
degen12,6600.364830323283,3579.0244580136123,Unclassified,#c2c2c2
degen12,6606.770627709609,3586.594945833815,Unclassified,#c2c2c2
degen12,6602.403038582569,3593.2919158286104,Unclassified,#c2c2c2
degen12,6592.211997286142,3597.9506775641203,Unclassified,#c2c2c2
degen12,6579.40040251349,3603.1917845165685,Unclassified,#c2c2c2
degen12,6571.538742084817,3607.8505462520784,Unclassified,#c2c2c2
degen12,6572.9946051271645,3616.8768971146283,Unclassified,#c2c2c2
degen12,6572.121087301756,3625.32090276024,Unclassified,#c2c2c2
degen12,6564.550599481553,3630.562009712688,Unclassified,#c2c2c2
degen12,6556.68893905288,3632.309045363504,Unclassified,#c2c2c2
degen12,6545.333207322576,3633.764908405851,Unclassified,#c2c2c2
degen12,6527.280505597476,3633.1825631889124,Unclassified,#c2c2c2
degen12,6513.595392999416,3629.979664495749,Unclassified,#c2c2c2
degen12,6511.266012131661,3611.3446175537106,Unclassified,#c2c2c2
degen12,6511.557184740131,3602.6094392996306,Unclassified,#c2c2c2
degen12,6517.089464301048,3595.621296696366,Unclassified,#c2c2c2
degen12,6515.051256041763,3590.0890171354476,Unclassified,#c2c2c2
degen12,6512.1395299570695,3583.6832197491217,Unclassified,#c2c2c2
degen12,6508.645458655437,3575.8215593204495,Unclassified,#c2c2c2
degen12,6509.810149089314,3566.5040358494302,Unclassified,#c2c2c2
degen12,6515.342428650232,3559.8070658546353,Unclassified,#c2c2c2
degen12,6526.698160380537,3558.0600302038188,Unclassified,#c2c2c2
degen12,6534.55982080921,3561.2629288969815,Unclassified,#c2c2c2
degen12,6542.130308629412,3566.5040358494302,Unclassified,#c2c2c2
