#Selection names: degen5
#Areas (µm^2): 2122.5
Selection,X,Y,Class,Color
degen5,7715.24818106407,5841.923567076868,Unclassified,#c2c2c2
degen5,7723.166007383139,5838.084620982773,Unclassified,#c2c2c2
degen5,7723.166007383139,5838.084620982773,Unclassified,#c2c2c2
degen5,7724.365678037544,5837.604752721011,Unclassified,#c2c2c2
degen5,7731.563701963971,5837.844686851893,Unclassified,#c2c2c2
degen5,7742.360737853611,5840.723896422463,Unclassified,#c2c2c2
degen5,7747.63928873299,5844.322908385677,Unclassified,#c2c2c2
degen5,7753.157773743251,5850.081327526818,Unclassified,#c2c2c2
degen5,7756.756785706464,5856.079680798841,Unclassified,#c2c2c2
degen5,7757.716522229988,5861.5981658091005,Unclassified,#c2c2c2
degen5,7757.716522229988,5866.87671668848,Unclassified,#c2c2c2
degen5,7754.837312659417,5873.834806484027,Unclassified,#c2c2c2
degen5,7750.0386300417995,5879.113357363406,Unclassified,#c2c2c2
degen5,7747.399354602109,5882.9523034575,Unclassified,#c2c2c2
degen5,7744.760079162419,5889.190590860403,Unclassified,#c2c2c2
degen5,7741.401001330087,5893.2694710853775,Unclassified,#c2c2c2
degen5,7737.08218697423,5896.148680655949,Unclassified,#c2c2c2
degen5,7732.043570225733,5896.628548917711,Unclassified,#c2c2c2
degen5,7727.484821738995,5894.469141739783,Unclassified,#c2c2c2
degen5,7725.565348691949,5891.829866300093,Unclassified,#c2c2c2
degen5,7725.565348691949,5887.511051944237,Unclassified,#c2c2c2
degen5,7725.565348691949,5882.9523034575,Unclassified,#c2c2c2
degen5,7724.845546299305,5879.113357363406,Unclassified,#c2c2c2
degen5,7723.166007383139,5876.234147792835,Unclassified,#c2c2c2
degen5,7721.006600205212,5874.314674745789,Unclassified,#c2c2c2
degen5,7716.687785849355,5871.9153334369785,Unclassified,#c2c2c2
degen5,7711.649169100857,5869.995860389932,Unclassified,#c2c2c2
degen5,7706.610552352357,5867.356584950243,Unclassified,#c2c2c2
degen5,7702.291737996501,5862.7978364635055,Unclassified,#c2c2c2
degen5,7701.092067342098,5857.999153845887,Unclassified,#c2c2c2
degen5,7701.81186973474,5853.20047122827,Unclassified,#c2c2c2
degen5,7702.291737996501,5849.841393395937,Unclassified,#c2c2c2
degen5,7703.731342781786,5847.202117956247,Unclassified,#c2c2c2
degen5,7705.650815828835,5845.522579040081,Unclassified,#c2c2c2
degen5,7708.7699595302865,5843.363171862153,Unclassified,#c2c2c2
degen5,7710.689432577333,5842.643369469511,Unclassified,#c2c2c2
degen5,7715.24818106407,5841.923567076868,Unclassified,#c2c2c2
