#Selection names: degen20
#Areas (µm^2): 4178.2
Selection,X,Y,Class,Color
degen20,3748.7383795871947,4459.4708803336325,Unclassified,#c2c2c2
degen20,3746.5633291159206,4447.870611153506,Unclassified,#c2c2c2
degen20,3747.2883459396785,4446.178905231404,Unclassified,#c2c2c2
degen20,3748.7383795871947,4442.795493387201,Unclassified,#c2c2c2
degen20,3750.4300855092965,4440.37877064134,Unclassified,#c2c2c2
degen20,3757.196909197704,4435.303652875035,Unclassified,#c2c2c2
degen20,3762.7553715131817,4430.711879657901,Unclassified,#c2c2c2
degen20,3766.622127906557,4427.328467813697,Unclassified,#c2c2c2
degen20,3770.247212025347,4423.945055969493,Unclassified,#c2c2c2
degen20,3774.3556406933085,4421.528333223634,Unclassified,#c2c2c2
degen20,3779.189086185028,4418.869938203188,Unclassified,#c2c2c2
degen20,3784.9892207750913,4416.453215457328,Unclassified,#c2c2c2
degen20,3791.0310276397404,4414.761509535227,Unclassified,#c2c2c2
degen20,3795.3811285822885,4412.828131338539,Unclassified,#c2c2c2
degen20,3800.214574074008,4410.653080867265,Unclassified,#c2c2c2
degen20,3804.0813304673834,4409.203047219749,Unclassified,#c2c2c2
degen20,3806.7397254878297,4407.027996748476,Unclassified,#c2c2c2
degen20,3810.8481541557912,4405.094618551788,Unclassified,#c2c2c2
degen20,3816.164944196682,4402.436223531342,Unclassified,#c2c2c2
degen20,3818.0983223933704,4398.569467137967,Unclassified,#c2c2c2
degen20,3818.3399946679565,4395.186055293763,Unclassified,#c2c2c2
degen20,3818.3399946679565,4389.869265252871,Unclassified,#c2c2c2
degen20,3818.3399946679565,4386.485853408667,Unclassified,#c2c2c2
degen20,3817.131633295027,4381.894080191534,Unclassified,#c2c2c2
degen20,3816.164944196682,4379.960701994845,Unclassified,#c2c2c2
degen20,3814.231565999995,4377.3023069744,Unclassified,#c2c2c2
degen20,3811.331498704963,4374.643911953955,Unclassified,#c2c2c2
degen20,3807.464742311587,4370.777155560579,Unclassified,#c2c2c2
degen20,3804.8063472911413,4367.6354159909615,Unclassified,#c2c2c2
degen20,3802.8729690944538,4363.285315048413,Unclassified,#c2c2c2
degen20,3804.0813304673834,4359.418558655038,Unclassified,#c2c2c2
degen20,3807.2230700370014,4357.001835909178,Unclassified,#c2c2c2
degen20,3811.089826430377,4356.518491360006,Unclassified,#c2c2c2
degen20,3815.1982550983384,4357.243508183764,Unclassified,#c2c2c2
degen20,3820.031700590058,4361.835281400898,Unclassified,#c2c2c2
degen20,3823.4151124342616,4368.360432814719,Unclassified,#c2c2c2
degen20,3825.106818356364,4373.677222855611,Unclassified,#c2c2c2
degen20,3827.523541102223,4378.752340621916,Unclassified,#c2c2c2
degen20,3834.7737093398023,4382.619097015292,Unclassified,#c2c2c2
degen20,3837.673776634834,4386.485853408667,Unclassified,#c2c2c2
degen20,3839.3654825569365,4391.077626625801,Unclassified,#c2c2c2
degen20,3841.298860753624,4398.811139412553,Unclassified,#c2c2c2
degen20,3842.7488944011393,4405.819635375546,Unclassified,#c2c2c2
degen20,3842.7488944011393,4412.103114514781,Unclassified,#c2c2c2
degen20,3838.6404657331777,4417.178232281087,Unclassified,#c2c2c2
degen20,3833.8070202414588,4419.111610477774,Unclassified,#c2c2c2
degen20,3829.2152470243254,4419.111610477774,Unclassified,#c2c2c2
degen20,3825.5901629055356,4418.14492137943,Unclassified,#c2c2c2
degen20,3821.240061962988,4415.72819863357,Unclassified,#c2c2c2
degen20,3816.164944196682,4413.794820436883,Unclassified,#c2c2c2
degen20,3813.0232046270644,4414.278164986055,Unclassified,#c2c2c2
degen20,3806.7397254878297,4419.111610477774,Unclassified,#c2c2c2
degen20,3799.972901799422,4426.603450989939,Unclassified,#c2c2c2
degen20,3796.8311622298042,4432.403585580003,Unclassified,#c2c2c2
degen20,3798.039523602734,4441.345459739684,Unclassified,#c2c2c2
degen20,3800.214574074008,4450.287333899366,Unclassified,#c2c2c2
degen20,3803.11464136904,4457.295829862359,Unclassified,#c2c2c2
degen20,3804.8063472911413,4463.337636727008,Unclassified,#c2c2c2
degen20,3805.0480195657274,4471.554494062931,Unclassified,#c2c2c2
degen20,3801.9062799961093,4476.871284103823,Unclassified,#c2c2c2
degen20,3795.3811285822885,4480.496368222613,Unclassified,#c2c2c2
degen20,3789.339321717639,4480.979712771785,Unclassified,#c2c2c2
degen20,3782.08915348006,4480.738040497198,Unclassified,#c2c2c2
degen20,3772.9056070457923,4478.80466230051,Unclassified,#c2c2c2
degen20,3766.1387833573854,4476.146267280065,Unclassified,#c2c2c2
degen20,3759.130287394392,4473.004527710447,Unclassified,#c2c2c2
degen20,3753.8134973535,4468.896099042486,Unclassified,#c2c2c2
degen20,3751.155102333055,4464.787670374524,Unclassified,#c2c2c2
degen20,3748.7383795871947,4459.4708803336325,Unclassified,#c2c2c2
