#Selection names: degen22
#Areas (µm^2): 1460.9
Selection,X,Y,Class,Color
degen22,2760.7961618620634,1949.83291024922,Unclassified,#c2c2c2
degen22,2777.7571144591616,1950.1862634283264,Unclassified,#c2c2c2
degen22,2777.7571144591616,1950.1862634283264,Unclassified,#c2c2c2
degen22,2784.470824862179,1950.5396166074322,Unclassified,#c2c2c2
degen22,2791.89124162341,1955.4865611149194,Unclassified,#c2c2c2
degen22,2795.0714202353656,1965.3804501298932,Unclassified,#c2c2c2
degen22,2791.89124162341,1975.2743391448669,Unclassified,#c2c2c2
degen22,2782.7040589666485,1981.6346963687788,Unclassified,#c2c2c2
degen22,2771.0434040561436,1982.3414027269912,Unclassified,#c2c2c2
degen22,2756.5559237127886,1977.0411050403982,Unclassified,#c2c2c2
degen22,2745.24862198139,1967.1472160254243,Unclassified,#c2c2c2
degen22,2737.82820522016,1956.1932674731315,Unclassified,#c2c2c2
degen22,2739.594971115691,1947.3594379954766,Unclassified,#c2c2c2
degen22,2749.1355069515585,1945.9460252790516,Unclassified,#c2c2c2
degen22,2760.7961618620634,1949.83291024922,Unclassified,#c2c2c2
