#Selection names: degen15
#Areas (µm^2): 9368.8
Selection,X,Y,Class,Color
degen15,3092.9179001483353,2636.710785854498,Unclassified,#c2c2c2
degen15,3108.2441249447547,2640.5423420536026,Unclassified,#c2c2c2
degen15,3118.0358796757996,2646.0768121189762,Unclassified,#c2c2c2
degen15,3127.8276344068454,2651.1855537177826,Unclassified,#c2c2c2
degen15,3139.32230300416,2659.2743945825596,Unclassified,#c2c2c2
degen15,3150.3912431349067,2665.2345931145005,Unclassified,#c2c2c2
degen15,3164.4402825316242,2671.1947916464405,Unclassified,#c2c2c2
degen15,3176.360679595505,2678.006447111516,Unclassified,#c2c2c2
degen15,3185.3009773934164,2683.5409171768893,Unclassified,#c2c2c2
degen15,3189.983990525656,2688.2239303091287,Unclassified,#c2c2c2
degen15,3194.2412751913275,2694.1841288410697,Unclassified,#c2c2c2
degen15,3198.924288323567,2701.847241239279,Unclassified,#c2c2c2
degen15,3201.9043875895372,2709.9360821040555,Unclassified,#c2c2c2
degen15,3207.0131291883436,2719.302108368534,Unclassified,#c2c2c2
degen15,3213.3990561868513,2729.9453200327134,Unclassified,#c2c2c2
degen15,3219.3592547187923,2736.7569754977885,Unclassified,#c2c2c2
degen15,3226.5966386504347,2743.1429024962968,Unclassified,#c2c2c2
degen15,3230.428194849539,2751.2317433610733,Unclassified,#c2c2c2
degen15,3231.7053802492405,2759.32058422585,Unclassified,#c2c2c2
degen15,3234.685479515211,2767.8351535571937,Unclassified,#c2c2c2
degen15,3236.814121848047,2776.349722888538,Unclassified,#c2c2c2
degen15,3237.665578781181,2784.012835286747,Unclassified,#c2c2c2
degen15,3239.3684926474502,2789.973033818688,Unclassified,#c2c2c2
degen15,3241.4971349802863,2796.358960817196,Unclassified,#c2c2c2
degen15,3239.3684926474502,2802.3191593491365,Unclassified,#c2c2c2
degen15,3232.131108715808,2807.4279009479433,Unclassified,#c2c2c2
degen15,3223.616539384464,2812.9623710133164,Unclassified,#c2c2c2
degen15,3215.5276985196874,2817.219655678988,Unclassified,#c2c2c2
degen15,3207.0131291883436,2818.49684107869,Unclassified,#c2c2c2
degen15,3198.924288323567,2819.7740264783915,Unclassified,#c2c2c2
degen15,3189.5582620590885,2818.0711126121228,Unclassified,#c2c2c2
degen15,3182.7466065940134,2810.408000213913,Unclassified,#c2c2c2
degen15,3181.0436927277447,2800.6162454828677,Unclassified,#c2c2c2
degen15,3183.5980635271476,2789.1215768855536,Unclassified,#c2c2c2
degen15,3185.3009773934164,2778.4783652213737,Unclassified,#c2c2c2
degen15,3182.320878127446,2765.7065112243577,Unclassified,#c2c2c2
degen15,3179.7665073280427,2754.637571093611,Unclassified,#c2c2c2
degen15,3176.7864080620725,2746.123001762267,Unclassified,#c2c2c2
degen15,3173.8063087961023,2734.2026046983856,Unclassified,#c2c2c2
degen15,3166.5689248644603,2721.8564791679373,Unclassified,#c2c2c2
degen15,3161.460183265654,2713.7676383031603,Unclassified,#c2c2c2
degen15,3154.6485278005784,2698.015685040174,Unclassified,#c2c2c2
degen15,3140.5994884038614,2679.709360977785,Unclassified,#c2c2c2
degen15,3129.9562767396815,2673.3234339792766,Unclassified,#c2c2c2
degen15,3115.907237342964,2669.4918777801718,Unclassified,#c2c2c2
degen15,3101.006741013112,2666.0860500476347,Unclassified,#c2c2c2
degen15,3092.492171681768,2663.9574077147986,Unclassified,#c2c2c2
degen15,3083.9776023504246,2659.2743945825596,Unclassified,#c2c2c2
degen15,3072.0572052865427,2652.8884675840513,Unclassified,#c2c2c2
degen15,3059.7110797560945,2650.3340967846484,Unclassified,#c2c2c2
degen15,3049.919325025049,2650.7598252512157,Unclassified,#c2c2c2
degen15,3040.5532987605707,2650.7598252512157,Unclassified,#c2c2c2
degen15,3037.147471028033,2650.7598252512157,Unclassified,#c2c2c2
degen15,3037.147471028033,2650.3340967846484,Unclassified,#c2c2c2
degen15,3043.533398026541,2639.6908851204685,Unclassified,#c2c2c2
degen15,3052.0479673578848,2629.899130389423,Unclassified,#c2c2c2
degen15,3059.7110797560945,2623.513203390915,Unclassified,#c2c2c2
degen15,3063.968364421766,2622.6617464577807,Unclassified,#c2c2c2
degen15,3063.968364421766,2622.6617464577807,Unclassified,#c2c2c2
degen15,3092.9179001483353,2636.710785854498,Unclassified,#c2c2c2
