#Selection names: degen4
#Areas (µm^2): 1312.2
Selection,X,Y,Class,Color
degen4,7078.768116620951,6409.491728703299,Unclassified,#c2c2c2
degen4,7073.489565741573,6408.5319921797745,Unclassified,#c2c2c2
degen4,7070.130487909239,6407.33232152537,Unclassified,#c2c2c2
degen4,7063.892200506336,6406.372585001846,Unclassified,#c2c2c2
degen4,7058.133781365195,6405.172914347442,Unclassified,#c2c2c2
degen4,7054.2948352711,6403.013507169514,Unclassified,#c2c2c2
degen4,7051.41562570053,6399.17456107542,Unclassified,#c2c2c2
degen4,7050.695823307888,6395.095680850445,Unclassified,#c2c2c2
degen4,7050.695823307888,6387.6577227931375,Unclassified,#c2c2c2
degen4,7052.135428093173,6380.21976473583,Unclassified,#c2c2c2
degen4,7054.774703532862,6374.701279725569,Unclassified,#c2c2c2
degen4,7057.653913103432,6370.862333631475,Unclassified,#c2c2c2
degen4,7060.533122674004,6368.223058191785,Unclassified,#c2c2c2
degen4,7064.612002898979,6365.583782752095,Unclassified,#c2c2c2
degen4,7068.690883123953,6365.343848621214,Unclassified,#c2c2c2
degen4,7073.729499872453,6367.263321668262,Unclassified,#c2c2c2
degen4,7078.768116620951,6369.902597107952,Unclassified,#c2c2c2
degen4,7082.607062715047,6372.781806678522,Unclassified,#c2c2c2
degen4,7085.486272285617,6375.181147987331,Unclassified,#c2c2c2
degen4,7086.925877070901,6378.540225819664,Unclassified,#c2c2c2
degen4,7088.125547725305,6381.899303651996,Unclassified,#c2c2c2
degen4,7089.32521837971,6387.1778545313755,Unclassified,#c2c2c2
degen4,7089.565152510591,6392.216471279874,Unclassified,#c2c2c2
degen4,7087.885613594425,6397.4950221592535,Unclassified,#c2c2c2
degen4,7087.165811201783,6399.894363468063,Unclassified,#c2c2c2
degen4,7085.486272285617,6402.293704776872,Unclassified,#c2c2c2
degen4,7085.006404023854,6402.533638907752,Unclassified,#c2c2c2
degen4,7084.046667500332,6403.493375431276,Unclassified,#c2c2c2
degen4,7083.086930976808,6404.213177823919,Unclassified,#c2c2c2
degen4,7083.086930976808,6404.213177823919,Unclassified,#c2c2c2
degen4,7078.768116620951,6409.491728703299,Unclassified,#c2c2c2
