"x","y"
1420.64240157422,662.566638252756
1506.73661662983,657.185749811781
1598.21172012641,657.185749811781
1716.59126582787,673.328415134707
1802.68548088348,678.709303575682
1894.16058438006,678.709303575682
2012.54013008152,721.756411103486
2114.77701046005,775.56529551324
2200.87122551566,807.850626159093
2270.82277524834,867.040399009823
2319.25077121712,936.991948742504
2394.58320939078,980.039056270307
2475.29653600541,996.181721593233
2577.53341638394,1006.94349847518
2636.72318923467,1071.51415976689
2749.72184649516,1087.65682508982
2830.43517310979,1066.13327132591
2911.14849972442,1103.79949041274
2921.91027660637,1103.79949041274
3013.38538010295,1130.70393261762
3099.47959515856,1125.32304417664
3185.57381021417,1184.51281702737
3277.04891371075,1206.03637079128
3341.61957500246,1275.98792052396
3422.33290161709,1297.51147428786
3524.56978199562,1275.98792052396
3626.80666237415,1324.41591649273
3712.90087742976,1329.79680493371
3815.13775780829,1345.93947025664
3938.89819195073,1378.22480090249
4046.51596077024,1421.27190843029
4105.70573362097,1480.46168128102
4197.18083711755,1512.74701192688
4326.32215970096,1528.8896772498
4423.17815163852,1550.4132310137
4520.03414357608,1571.93678477761
4600.74747019071,1625.74566918736
4665.31813148241,1701.07810736102
4735.26968121509,1754.88699177077
4826.74478471168,1754.88699177077
4912.83899976728,1760.26788021175
5015.07588014582,1787.17232241662
5111.93187208337,1819.45765306248
5192.64519869801,1840.98120682638
5289.50119063556,1900.17097967711
5364.83362880922,1948.59897564589
5461.68962074678,1986.26519473271
5537.02205892043,2029.31230226052
5606.97360865311,2083.12118667027
5709.21048903165,2126.16829419808
5789.92381564628,2179.97717860783
5876.01803070189,2239.16695145856
5935.20780355262,2298.35672430929
6026.6829070492,2330.64205495514
6112.77712210481,2362.92738560099
6204.25222560139,2405.9744931288
6284.96555221602,2459.78337753855
6371.05976727163,2508.21137350733
6457.15398232723,2535.11581571221
6554.00997426479,2583.54381168099
6667.00863152528,2621.21003076782
6736.96018125796,2669.63802673659
6790.76906566771,2744.97046491025
6887.62505760527,2777.2557955561
6979.10016110185,2809.54112620196
7065.19437615746,2857.96912217074
7151.28859121307,2901.01622969854
7242.76369470965,2960.20600254927
7328.85790976526,3008.63399851805
7371.90501729306,3083.9664366917
7431.09479014379,3143.15620954243
7522.56989364037,3180.82242862926
7635.56855090086,3234.63131303902
7710.90098907451,3277.67842056682
7791.61431568914,3342.24908185853
7856.18497698085,3412.20063159121
7888.4703076267,3492.91395820584
7893.85119606768,3492.91395820584
7979.94541112328,3541.34195417462
8060.65873773791,3562.86550793852
8141.37206435255,3595.15083858437
8141.37206435255,3605.91261546632
8243.60894473108,3643.57883455315
8329.70315978669,3713.53038428583
8367.36937887352,3799.62459934144
8367.36937887352,3885.71881439704
8356.60760199157,3971.81302945265
8469.60625925205,3982.5748063346
8561.08136274863,3998.71747165753
8577.22402807156,4079.43079827216
8674.08002000912,4074.04990983119
8760.17423506472,4074.04990983119
8840.88756167935,4100.95435203606
8921.60088829399,4138.62057112289
8996.93332646764,4219.33389773752
9136.836425933,4246.2383399424
9228.31152942959,4283.90455902923
9303.64396760324,4326.95166655703
9378.9764057769,4359.23699720288
9497.35595147836,4407.66499317166
9583.45016653396,4461.47387758142
9658.78260470762,4531.4254273141
9728.7341544403,4590.61520016483
9847.11370014176,4676.70941522043
9927.82702675639,4746.66096495311
10030.0639071349,4827.37429156775
10143.0625643954,4924.2302835053
10266.8229985378,5010.32449856091
10385.2025442393,5091.03782517554
10471.2967592949,5177.13204023115
10525.1056437047,5247.08358996383
10568.1527512325,5360.08224722432
10552.0100859095,5494.6044582487
10508.9629783817,5645.26933459602
10433.6305402081,5747.50621497455
10293.7274407427,5801.3150993843
10202.2523372461,5855.12398379405
10121.5390106315,5919.69464508576
10030.0639071349,5962.74175261357
9943.96969207932,5989.64619481844
9863.25636546469,6038.07419078722
9744.87681976323,6081.12129831503
9653.40171626665,6113.40662896088
9540.40305900616,6183.35817869356
9448.92795550958,6199.50084401648
9298.26307916227,6237.16706310331
9201.40708722471,6242.54795154429
9072.2657646413,6274.83328219014
8959.26710738081,6301.73772439502
8819.36400791545,6344.78483192282
8711.74623909594,6377.07016256867
8598.74758183546,6398.59371633258
8491.12981301595,6409.35549321453
8367.36937887352,6430.87904697843
8286.65605225888,6468.54526606526
8141.37206435255,6473.92615450623
8033.75429553304,6490.06881982916
7877.70853074475,6516.97326203403
7748.56720816134,6522.35415047501
7630.18766245988,6527.73503891599
7517.1890051994,6522.35415047501
7382.66679417501,6527.73503891599
7291.19169067843,6527.73503891599
7199.71658718184,6527.73503891599
7092.09881836234,6543.87770423891
6941.43394201502,6543.87770423891
6833.81617319552,6560.02036956184
6742.34106969893,6560.02036956184
6602.43797023357,6554.63948112086
6500.20108985504,6543.87770423891
6408.72598635845,6463.16437762428
6317.25088286187,6463.16437762428
6182.72867183749,6452.40260074233
6096.63445678188,6430.87904697843
6005.1593532853,6360.92749724575
5908.30336134774,6334.02305504087
5800.68559252823,6317.88038971795
5698.4487121497,6280.21417063112
5580.06916644824,6242.54795154429
5483.21317451068,6156.45373648868
5391.7380710141,6113.40662896088
5235.69230622581,6038.07419078722
5117.31276052435,5957.36086417259
5009.69499170484,5903.55197976283
4842.8874500346,5849.74309535308
4751.41234653802,5822.8386531482
4665.31813148241,5790.55332250235
4573.84302798583,5763.64888029747
4487.74881293022,5682.93555368284
4358.60749034681,5666.79288835992
4256.37060996828,5618.36489239114
4137.99106426682,5564.55600798138
4030.37329544731,5516.1280120126
3949.65996883268,5462.31912760285
3858.1848653361,5392.36757787017
3766.70976183952,5349.32047034236
3664.47288146098,5284.74980905066
3519.18889355464,5220.17914775895
3390.04757097123,5177.13204023115
3277.04891371075,5134.08493270335
3180.19292177319,5096.41871361652
3077.95604139466,5037.22894076579
2954.19560725222,5004.94361011994
2841.19694999174,4967.27739103311
2738.96006961321,4940.37294882823
2647.48496611662,4908.08761818238
2550.62897417907,4886.56406441848
2464.53475912346,4859.6596222136
2340.77432498102,4811.23162624482
2243.91833304347,4778.94629559897
2141.68145266493,4746.66096495311
1996.3974647586,4692.85208054336
1899.54147282104,4660.56674989751
1775.7810386786,4612.13875392873
1705.82948894592,4542.18720419605
1608.97349700836,4477.61654290434
1479.83217442495,4434.56943537654
1372.21440560544,4332.33255499801
1323.78640963667,4235.47656306045
1269.97752522691,4149.38234800484
1173.12153328935,4127.85879424094
1097.7890951157,4047.14546762631
1054.74198758789,3966.43214101168
974.028660973262,3880.33792595607
904.077111240581,3751.19660337266
823.36378462595,3665.10238831705
721.126904247417,3546.72284261559
597.366470104982,3396.05796626828
489.748701285472,3304.5828627717
392.892709347915,3191.58420551121
349.845601820111,3073.20465980975
317.560271174258,2981.72955631317
274.513163646455,2890.25445281659
242.227833000602,2788.01757243805
226.085167677676,2680.39980361855
