"x","y"
1065.50376446984,1206.03637079128
1130.07442576155,1259.84525520103
1210.78775237618,1308.27325116981
1280.73930210886,1356.70124713859
1339.92907495959,1415.89101998932
1415.26151313325,1496.60434660395
1458.30862066105,1577.31767321858
1506.73661662983,1647.26922295126
1571.30727792154,1749.5061033298
1652.02060453617,1792.5532108576
1727.35304270982,1862.50476059028
1797.3045924425,1943.21808720491
1867.25614217518,2023.93141381954
1915.68413814396,2099.2638519932
1991.01657631762,2179.97717860783
2098.63434513713,2239.16695145856
2179.34767175176,2276.83317054539
2265.44188680737,2330.64205495514
2346.155213422,2379.07005092392
2421.48765159565,2422.11715845172
2529.10542041516,2486.68781974343
2604.43785858882,2524.35403883026
2674.3894083215,2572.78203479904
2744.34095805418,2626.59091920879
2825.05428466881,2696.54246894147
2900.38672284247,2761.11313023318
2975.71916101613,2814.92201464293
3072.57515295368,2857.96912217074
3169.43114489124,2890.25445281659
3255.52535994685,2938.68244878537
3411.57112473514,2965.58689099024
3497.66533979074,3030.15755228195
3599.90222016928,3110.87087889658
3723.66265431171,3153.91798642438
3809.75686936732,3175.44154018829
3901.2319728639,3240.01220147999
3992.70707636048,3250.77397836194
4078.80129141609,3288.44019744877
4170.27639491267,3315.34463965365
4256.37060996828,3353.01085874048
4337.08393658291,3385.29618938633
4444.70170540242,3449.86685067803
4520.03414357608,3503.67573508779
4600.74747019071,3568.24639637949
4676.07990836436,3611.2935039073
4751.41234653802,3659.72149987608
4826.74478471168,3713.53038428583
4928.98166509021,3735.05393804973
5031.21854546874,3761.95838025461
5138.83631428825,3778.10104557754
5241.07319466678,3756.57749181363
5354.07185192727,3794.24371090046
5461.68962074678,3805.00548778241
5590.83094333019,3826.52904154631
5682.30604682677,3831.90992998729
5816.82825785116,3858.81437219217
5935.20780355262,3907.24236816095
6015.92113016725,3934.14681036582
6112.77712210481,3977.19391789363
6225.77577936529,4025.62191386241
6306.48910597992,4052.52635606728
6403.34509791748,4100.95435203606
6505.58197829601,4154.76323644582
6613.19974711552,4208.57212085557
6720.81751593503,4262.38100526533
6828.43528475454,4316.18988967508
6936.05305357405,4386.14143940776
7022.14726862965,4445.33121225849
7129.76503744916,4509.90187355019
7199.71658718184,4558.32986951897
7296.5725791194,4633.66230769263
7398.80945949794,4676.70941522043
7511.80811675842,4703.61385742531
7619.42588557793,4730.51829963019
7705.52010063354,4746.66096495311
7823.89964633499,4773.56540715799
7904.61297294963,4795.08896092189
8017.61163021011,4816.61251468579
8098.32495682474,4854.27873377262
8275.89427537693,4881.1831759775
8388.89293263742,4956.51561415116
8528.79603210278,4994.18183323798
8431.94004016522,5408.51024319309
8302.79871758181,5435.41468539797
8184.41917188035,5451.5573507209
8066.03962617889,5456.93823916187
7936.89830359548,5435.41468539797
7840.04231165792,5360.08224722431
7748.56720816134,5279.36892060968
7646.33032778281,5241.70270152286
7533.33167052232,5214.79825931798
7425.71390170281,5204.03648243603
7339.6196866472,5177.13204023115
7242.76369470965,5144.8467095853
7145.90770277209,5074.89515985262
7054.43259927551,5026.46716388384
6925.2912766921,4983.42005635603
6801.53084254966,4961.89650259213
6693.91307373015,4913.46850662335
6618.5806355565,4859.6596222136
6543.24819738284,4800.46984936287
6451.77309388626,4735.89918807116
6360.29799038968,4692.85208054336
6263.44199845212,4639.04319613361
6182.72867183749,4590.61520016483
6096.63445678188,4547.56809263702
6010.54024172627,4515.28276199117
5924.44602667067,4477.61654290434
5800.68559252823,4439.95032381751
5709.21048903165,4429.18854693556
5606.97360865311,4391.52232784873
5510.11761671556,4353.85610876191
5413.261624778,4305.42811279313
5300.26296751751,4208.57212085557
5219.54964090288,4117.09701735899
5149.5980911702,4047.14546762631
5079.64654143752,3971.81302945265
4982.79054949996,3885.71881439704
4837.50656159363,3778.10104557754
4665.31813148241,3681.24505363998
4514.6532551351,3622.05528078925
4358.60749034681,3562.86550793852
4207.9426139995,3509.05662352876
4111.08662206194,3476.77129288291
4003.46885324243,3428.34329691413
3901.2319728639,3358.39174718145
3675.23465834293,3234.63131303902
3589.14044328732,3207.72687083414
3481.52267446782,3170.06065174731
3390.04757097123,3148.53709798341
3271.66802526977,3132.39443266048
3169.43114489124,3105.48999045561
3083.33692983563,3078.58554825073
2975.71916101613,3046.30021760488
2889.62494596052,3024.77666384097
2792.76895402296,2960.20600254927
2690.53207364443,2927.92067190342
2566.77163950199,2884.87356437561
2464.53475912346,2836.44556840683
2356.91699030395,2771.87490711513
2276.20366368932,2696.54246894147
2195.49033707469,2626.59091920879
2104.0152335781,2583.54381168099
2007.15924164055,2551.25848103514
1921.06502658494,2502.83048506636
1818.82814620641,2470.5451544205
1716.59126582787,2438.25982377465
1619.73527389031,2422.11715845172
1522.87928195276,2405.9744931288
1388.35707092837,2422.11715845172
1302.26285587276,2400.59360468782
1248.45397146301,2314.49938963222
1194.64508705325,2239.16695145856
1135.45531420252,2142.310959521
1076.2655413518,2050.83585602442
1011.69488006009,1980.88430629174
930.981553445458,1927.07542188198
839.506449948876,1894.79009123613
753.412234893269,1873.26653747223
683.460685160588,1862.50476059028
1065.50376446984,1206.03637079128
